,animal_id,animal_type,outcome_type
51392,A703294,Dog,Adoption
51393,A760502,Dog,Adoption
51394,A736733,Dog,Return to Owner
51395,A716696,Cat,Adoption
51396,A704736,Cat,Transfer
51397,A757731,Cat,Adoption
51398,A717599,Cat,Transfer
51399,A720749,Other,Died
51400,A710438,Dog,Adoption
51401,A746363,Other,Died
51402,A501076,Dog,Return to Owner
51403,A723128,Cat,Transfer
51404,A622134,Dog,Adoption
51405,A730601,Cat,Transfer
51406,A744686,Dog,Adoption
51407,A761200,Cat,Euthanasia
51408,A756067,Cat,Adoption
51409,A721973,Dog,Return to Owner
51410,A739950,Dog,Transfer
51411,A725955,Dog,Adoption
51412,A762587,Cat,Transfer
51413,A741104,Dog,Return to Owner
51414,A738024,Dog,Transfer
51415,A503957,Cat,Adoption
51416,A710095,Dog,Transfer
51417,A720824,Dog,Return to Owner
51418,A752622,Dog,Adoption
51419,A728492,Cat,Transfer
51420,A732740,Dog,Transfer
51421,A706207,Dog,Return to Owner
51422,A706799,Other,Euthanasia
51423,A752775,Cat,Transfer
51424,A733324,Dog,Adoption
51425,A749382,Dog,Adoption
51426,A732412,Dog,Return to Owner
51427,A707182,Cat,Adoption
51428,A748201,Cat,Adoption
51429,A682050,Dog,Adoption
51430,A712193,Dog,Euthanasia
51431,A727430,Cat,Transfer
51432,A721298,Dog,Transfer
51433,A741160,Dog,Adoption
51434,A729345,Dog,Adoption
51435,A707264,Dog,Transfer
51436,A744714,Dog,Transfer
51437,A756848,Cat,Adoption
51438,A738017,Cat,Adoption
51439,A757542,Dog,Transfer
51440,A714481,Dog,Adoption
51441,A357846,Dog,Return to Owner
51442,A737784,Cat,Adoption
51443,A757342,Cat,Adoption
51444,A751697,Dog,Adoption
51445,A736186,Cat,Transfer
51446,A762820,Dog,Adoption
51447,A744762,Dog,Return to Owner
51448,A733436,Cat,Transfer
51449,A756176,Dog,Transfer
51450,A718137,Dog,Transfer
51451,A758136,Dog,Adoption
51452,A735283,Cat,Adoption
51453,A751426,Cat,Adoption
51454,A723622,Other,Died
51455,A757023,Dog,Return to Owner
51456,A743468,Dog,Transfer
51457,A714887,Dog,Transfer
51458,A748019,Dog,Adoption
51459,A736623,Dog,Transfer
51460,A715926,Other,Died
51461,A743751,Dog,Return to Owner
51462,A739830,Dog,Adoption
51463,A748819,Cat,Transfer
51464,A745775,Dog,Adoption
51465,A740680,Dog,Transfer
51466,A735537,Dog,Transfer
51467,A699563,Dog,Return to Owner
51468,A754090,Cat,Transfer
51469,A742649,Dog,Adoption
51470,A739850,Cat,Adoption
51471,A737365,Dog,Adoption
51472,A751820,Cat,Adoption
51473,A711414,Dog,Return to Owner
51474,A718726,Dog,Return to Owner
51475,A728722,Other,Euthanasia
51476,A726078,Other,Euthanasia
51477,A726893,Dog,Adoption
51478,A725380,Dog,Return to Owner
51479,A738985,Dog,Adoption
51480,A733810,Dog,Transfer
51481,A754050,Cat,Adoption
51482,A717387,Cat,Euthanasia
51483,A749480,Dog,Adoption
51484,A745774,Dog,Return to Owner
51485,A752502,Cat,Adoption
51486,A706492,Dog,Adoption
51487,A704998,Dog,Return to Owner
51488,A720811,Other,Euthanasia
51489,A737364,Cat,Adoption
51490,A737919,Dog,Adoption
51491,A719987,Cat,Transfer
51492,A722121,Cat,Transfer
51493,A723203,Dog,Adoption
51494,A716039,Cat,Euthanasia
51495,A730385,Dog,Adoption
51496,A684284,Dog,Adoption
51497,A755226,Cat,Adoption
51498,A762831,Dog,Transfer
51499,A730046,Cat,Adoption
51500,A729070,Dog,Transfer
51501,A715648,Cat,Adoption
51502,A731241,Cat,Transfer
51503,A721259,Cat,Transfer
51504,A735367,Dog,Return to Owner
51505,A759397,Dog,Transfer
51506,A723368,Cat,Transfer
51507,A740777,Dog,Adoption
51508,A728989,Cat,Transfer
51509,A728840,Dog,Adoption
51510,A735875,Cat,Adoption
51511,A761326,Other,Euthanasia
51512,A742030,Dog,Transfer
51513,A725272,Cat,Adoption
51514,A715039,Cat,Adoption
51515,A734320,Dog,Return to Owner
51516,A743078,Dog,Transfer
51517,A757283,Dog,Adoption
51518,A738265,Dog,Adoption
51519,A706100,Cat,Transfer
51520,A740134,Dog,Return to Owner
51521,A749055,Cat,Adoption
51522,A711788,Cat,Transfer
51523,A744169,Dog,Return to Owner
51524,A706704,Cat,Transfer
51525,A727649,Cat,Adoption
51526,A707643,Cat,Adoption
51527,A752628,Cat,Adoption
51528,A744678,Cat,Transfer
51529,A716616,Other,Died
51530,A749821,Cat,Euthanasia
51531,A744908,Dog,Adoption
51532,A620515,Dog,Return to Owner
51533,A758294,Dog,Transfer
51534,A734435,Cat,Return to Owner
51535,A740517,Dog,Adoption
51536,A734911,Cat,Transfer
51537,A736810,Cat,Transfer
51538,A740971,Dog,Return to Owner
51539,A756598,Cat,Transfer
51540,A751467,Dog,Return to Owner
51541,A734240,Other,Adoption
51542,A712051,Cat,Transfer
51543,A756415,Dog,Return to Owner
51544,A737193,Dog,Return to Owner
51545,A710417,Dog,Adoption
51546,A731998,Cat,Transfer
51547,A714512,Dog,Adoption
51548,A754138,Dog,Adoption
