,animal_id,animal_type,outcome_type
0,A684346,Cat,Transfer
1,A666430,Dog,Transfer
2,A675708,Dog,Adoption
3,A680386,Dog,Transfer
4,A683115,Other,Euthanasia
5,A664462,Dog,Transfer
6,A693700,Other,Euthanasia
7,A692618,Dog,Transfer
8,A685067,Cat,Adoption
9,A678580,Cat,Adoption
10,A675405,Cat,Return to Owner
11,A673652,Dog,Transfer
12,A677679,Dog,Adoption
13,A640655,Dog,Return to Owner
14,A690350,Dog,Return to Owner
15,A680396,Dog,Transfer
16,A674298,Dog,Transfer
17,A670420,Cat,Transfer
18,A692378,Dog,Adoption
19,A684460,Cat,Adoption
20,A673952,Cat,Transfer
21,A686497,Cat,Adoption
22,A666660,Dog,Adoption
23,A687965,Cat,Adoption
24,A668547,Cat,Transfer
25,A689952,Dog,Adoption
26,A669621,Dog,Transfer
27,A667311,Dog,Adoption
28,A690699,Dog,Transfer
29,A682393,Cat,Transfer
30,A681039,Cat,Transfer
31,A682532,Cat,Adoption
32,A669918,Dog,Adoption
33,A683779,Cat,Adoption
34,A678098,Dog,Adoption
35,A686829,Cat,Transfer
36,A677038,Dog,Adoption
37,A665344,Dog,Adoption
38,A617061,Cat,Died
39,A675394,Dog,Transfer
40,A683068,Other,Euthanasia
41,A682085,Cat,Adoption
42,A673439,Dog,Adoption
43,A692877,Cat,Transfer
44,A683856,Cat,Adoption
45,A647382,Dog,Adoption
46,A683517,Cat,Transfer
47,A660098,Dog,Transfer
48,A693005,Dog,Return to Owner
49,A688811,Cat,Transfer
50,A680225,Cat,Transfer
51,A662912,Cat,Transfer
52,A688352,Dog,Adoption
53,A545127,Dog,Euthanasia
54,A661023,Dog,Adoption
55,A673648,Dog,Return to Owner
56,A674466,Dog,Transfer
57,A637480,Dog,Return to Owner
58,A677479,Dog,Adoption
59,A664116,Dog,Adoption
60,A677218,Cat,Transfer
61,A691708,Cat,Transfer
62,A688079,Dog,Return to Owner
63,A676606,Dog,Transfer
64,A666831,Dog,Adoption
65,A683939,Dog,Transfer
66,A619328,Dog,Return to Owner
67,A693212,Other,Euthanasia
68,A682652,Dog,Transfer
69,A680208,Other,Euthanasia
70,A670066,Cat,Adoption
71,A667511,Cat,Euthanasia
72,A674267,Dog,Adoption
73,A670730,Dog,Transfer
74,A670656,Cat,Return to Owner
75,A669064,Dog,Adoption
76,A680147,Dog,Transfer
77,A688674,Cat,Transfer
78,A677633,Cat,Euthanasia
79,A667384,Dog,Adoption
80,A688532,Cat,Transfer
81,A687769,Cat,Adoption
82,A676666,Other,Euthanasia
83,A678060,Cat,Adoption
84,A671481,Dog,Adoption
85,A674053,Dog,Adoption
86,A688036,Cat,Transfer
87,A689091,Dog,Adoption
88,A663623,Cat,Adoption
89,A676932,Dog,Transfer
90,A693547,Dog,Adoption
91,A663592,Dog,Adoption
92,A685713,Other,Euthanasia
93,A675014,Other,Euthanasia
94,A624436,Dog,Return to Owner
95,A562649,Dog,Euthanasia
96,A673137,Other,Transfer
97,A688904,Dog,Transfer
98,A686842,Dog,Euthanasia
99,A691706,Cat,Adoption
100,A668644,Dog,Adoption
101,A685249,Dog,Euthanasia
102,A667028,Cat,Adoption
103,A688773,Dog,Return to Owner
104,A675362,Dog,Transfer
105,A672190,Cat,Adoption
106,A687138,Cat,Adoption
107,A662261,Cat,Transfer
108,A670525,Dog,Transfer
109,A646578,Dog,Adoption
110,A665799,Cat,Adoption
111,A673438,Cat,Transfer
112,A669140,Cat,Transfer
113,A552202,Dog,Euthanasia
114,A675373,Dog,Return to Owner
115,A687494,Dog,Return to Owner
116,A669576,Cat,Euthanasia
117,A673284,Other,Transfer
118,A684123,Dog,Adoption
119,A681482,Dog,Transfer
120,A685582,Cat,Transfer
121,A664633,Other,Euthanasia
122,A681449,Dog,Return to Owner
123,A684998,Cat,Adoption
124,A664486,Cat,Transfer
125,A689192,Cat,Euthanasia
126,A693898,Dog,Adoption
127,A665019,Cat,Adoption
128,A684110,Cat,Euthanasia
129,A665719,Dog,Adoption
130,A677014,Cat,Transfer
131,A672839,Dog,Transfer
132,A677959,Cat,Adoption
133,A667121,Dog,Return to Owner
134,A680473,Cat,Adoption
135,A690900,Cat,Adoption
136,A650344,Dog,Adoption
137,A674808,Dog,Return to Owner
138,A675177,Dog,Adoption
139,A664437,Cat,Transfer
140,A580635,Dog,Transfer
141,A683017,Dog,Adoption
142,A691498,Dog,Adoption
143,A688607,Dog,Adoption
144,A665667,Dog,Transfer
145,A678589,Dog,Adoption
146,A690027,Dog,Return to Owner
147,A683956,Cat,Adoption
148,A664490,Dog,Adoption
149,A690029,Cat,Transfer
150,A666941,Dog,Transfer
151,A678260,Cat,Transfer
152,A679240,Dog,Adoption
153,A672918,Cat,Adoption
154,A688771,Other,Euthanasia
155,A681990,Cat,Transfer
156,A683735,Cat,Transfer
157,A515757,Dog,Return to Owner
158,A685607,Cat,Transfer
159,A592428,Dog,Return to Owner
160,A666001,Dog,Adoption
161,A679736,Cat,Transfer
162,A671106,Cat,Transfer
163,A688062,Dog,Adoption
164,A678573,Cat,Adoption
165,A687004,Dog,Adoption
166,A669193,Dog,Return to Owner
167,A661614,Dog,Adoption
168,A668531,Dog,Transfer
169,A684739,Dog,Return to Owner
170,A626164,Cat,Adoption
171,A663020,Dog,Adoption
172,A669753,Cat,Transfer
173,A687770,Cat,Adoption
174,A580685,Dog,Euthanasia
175,A685766,Dog,Return to Owner
176,A666264,Dog,Adoption
177,A683813,Dog,Adoption
178,A688206,Cat,Transfer
179,A667941,Dog,Transfer
180,A667359,Cat,Return to Owner
181,A689369,Dog,Transfer
182,A688884,Dog,Adoption
183,A677215,Dog,Adoption
184,A625324,Dog,Return to Owner
185,A675626,Dog,Transfer
186,A686388,Cat,Adoption
187,A675315,Dog,Adoption
188,A684824,Cat,Transfer
189,A672456,Dog,Transfer
190,A686978,Cat,Transfer
191,A672082,Dog,Return to Owner
192,A680663,Cat,Adoption
193,A677147,Dog,Return to Owner
194,A681042,Cat,Transfer
195,A680414,Cat,Adoption
196,A677404,Dog,Transfer
197,A673022,Other,Euthanasia
198,A683224,Cat,Euthanasia
199,A671082,Dog,Adoption
200,A677631,Cat,Transfer
201,A677077,Cat,Adoption
202,A682239,Cat,Adoption
203,A687677,Dog,Adoption
204,A693905,Cat,Transfer
205,A666882,Dog,Adoption
206,A672684,Dog,Transfer
207,A679110,Dog,Transfer
208,A679444,Other,Euthanasia
209,A686527,Dog,Return to Owner
210,A680819,Cat,Adoption
211,A682822,Dog,Adoption
212,A568980,Dog,Return to Owner
213,A681211,Dog,Transfer
214,A665165,Dog,Adoption
215,A672566,Dog,Return to Owner
216,A663004,Dog,Adoption
217,A675711,Dog,Return to Owner
218,A563563,Dog,Return to Owner
219,A673750,Other,Euthanasia
220,A667421,Dog,Transfer
221,A690726,Dog,Adoption
222,A680076,Dog,Adoption
223,A682584,Dog,Adoption
224,A537300,Dog,Return to Owner
225,A670245,Dog,Adoption
226,A680264,Dog,Transfer
227,A665817,Dog,Transfer
228,A692219,Cat,Transfer
229,A677021,Other,Euthanasia
230,A682550,Dog,Return to Owner
231,A669134,Other,Euthanasia
232,A688479,Cat,Return to Owner
233,A685801,Dog,Return to Owner
234,A692409,Dog,Return to Owner
235,A664618,Dog,Adoption
236,A673538,Dog,Transfer
237,A688741,Cat,Transfer
238,A664514,Cat,Adoption
239,A687263,Dog,Transfer
240,A671065,Cat,Transfer
241,A673579,Dog,Adoption
242,A678248,Cat,Transfer
243,A678109,Dog,Transfer
244,A670616,Cat,Adoption
245,A669510,Dog,Adoption
246,A676786,Dog,Adoption
247,A671647,Dog,Adoption
248,A352555,Dog,Return to Owner
249,A669124,Dog,Transfer
250,A688164,Dog,Return to Owner
251,A669279,Dog,Adoption
252,A678311,Dog,Adoption
253,A683161,Cat,Adoption
254,A665982,Dog,Return to Owner
255,A685532,Dog,Return to Owner
256,A669828,Dog,Transfer
257,A575091,Cat,Return to Owner
258,A680973,Dog,Adoption
259,A683570,Dog,Adoption
260,A688074,Cat,Adoption
261,A688983,Dog,Adoption
262,A681310,Dog,Return to Owner
263,A664952,Cat,Adoption
264,A685756,Dog,Return to Owner
265,A689995,Dog,Adoption
266,A666700,Dog,Adoption
267,A688011,Cat,Return to Owner
268,A644391,Cat,Adoption
269,A666578,Dog,Transfer
270,A691847,Dog,Adoption
271,A688552,Cat,Adoption
272,A691086,Cat,Transfer
273,A678917,Cat,Died
274,A672410,Dog,Return to Owner
275,A585940,Dog,Euthanasia
276,A692964,Dog,Adoption
277,A679999,Cat,Transfer
278,A677713,Cat,Transfer
279,A672466,Dog,Return to Owner
280,A664638,Cat,Transfer
281,A678011,Dog,Return to Owner
282,A688558,Cat,Transfer
283,A664943,Dog,Adoption
284,A666522,Dog,Euthanasia
285,A670297,Dog,Return to Owner
286,A571229,Dog,Transfer
287,A672636,Other,Euthanasia
288,A678563,Dog,Return to Owner
289,A689913,Other,Transfer
290,A673585,Dog,Adoption
291,A673464,Dog,Adoption
292,A328422,Dog,Return to Owner
293,A689477,Cat,Transfer
294,A667144,Cat,Adoption
295,A685958,Dog,Adoption
296,A679553,Other,Euthanasia
297,A613954,Dog,Adoption
298,A688119,Dog,Adoption
299,A680219,Dog,Adoption
300,A692480,Other,Euthanasia
301,A668847,Dog,Adoption
302,A684635,Dog,Adoption
303,A689130,Cat,Transfer
304,A687416,Dog,Adoption
305,A641881,Dog,Return to Owner
306,A674331,Dog,Adoption
307,A687156,Cat,Adoption
308,A691709,Cat,Transfer
309,A669542,Dog,Adoption
310,A665661,Cat,Adoption
311,A690538,Dog,Adoption
312,A679781,Cat,Adoption
313,A666253,Dog,Euthanasia
314,A663644,Dog,Return to Owner
315,A667187,Cat,Transfer
316,A669003,Dog,Transfer
317,A666265,Dog,Transfer
318,A681701,Cat,Euthanasia
319,A673085,Dog,Adoption
320,A690228,Other,Euthanasia
321,A663825,Dog,Transfer
322,A690407,Dog,Return to Owner
323,A671089,Dog,Adoption
324,A663893,Dog,Adoption
325,A689722,Dog,Adoption
326,A687078,Dog,Return to Owner
327,A675235,Dog,Adoption
328,A672217,Dog,Transfer
329,A681349,Dog,Adoption
330,A684620,Dog,Adoption
331,A685901,Cat,Transfer
332,A688808,Cat,Transfer
333,A628369,Dog,Return to Owner
334,A665648,Other,Transfer
335,A677564,Cat,Euthanasia
336,A667079,Dog,Transfer
337,A680793,Dog,Adoption
338,A686753,Cat,Adoption
339,A681157,Cat,Euthanasia
340,A688748,Cat,Transfer
341,A660220,Dog,Adoption
342,A671184,Cat,Transfer
343,A692887,Cat,Adoption
344,A691711,Cat,Transfer
345,A680005,Dog,Adoption
346,A674642,Dog,Adoption
347,A679410,Cat,Transfer
348,A664596,Dog,Adoption
349,A673615,Dog,Adoption
350,A687187,Dog,Adoption
351,A682954,Dog,Transfer
352,A683880,Dog,Transfer
353,A664283,Cat,Adoption
354,A679085,Cat,Adoption
355,A683852,Dog,Return to Owner
356,A676036,Dog,Adoption
357,A666313,Dog,Adoption
358,A670479,Dog,Adoption
359,A693312,Dog,Transfer
360,A673970,Cat,Euthanasia
361,A676600,Cat,Return to Owner
362,A691881,Dog,Adoption
363,A628628,Cat,Adoption
364,A684311,Dog,Transfer
365,A679233,Dog,Return to Owner
366,A676541,Cat,Adoption
367,A680647,Dog,Adoption
368,A676292,Dog,Transfer
369,A682876,Dog,Adoption
370,A640416,Dog,Transfer
371,A684283,Dog,Return to Owner
372,A675129,Dog,Transfer
373,A667578,Dog,Return to Owner
374,A666568,Dog,Return to Owner
375,A678653,Cat,Adoption
376,A686756,Other,Transfer
377,A667400,Dog,Adoption
378,A680183,Dog,Adoption
379,A680670,Dog,Adoption
380,A678951,Cat,Adoption
381,A668012,Cat,Adoption
382,A686020,Dog,Return to Owner
383,A590767,Dog,Return to Owner
384,A678837,Cat,Transfer
385,A669284,Dog,Return to Owner
386,A673609,Dog,Transfer
387,A690090,Cat,Transfer
388,A684268,Dog,Return to Owner
389,A677443,Cat,Adoption
390,A684041,Dog,Adoption
391,A668365,Dog,Adoption
392,A579684,Dog,Return to Owner
393,A686697,Dog,Adoption
394,A680977,Dog,Euthanasia
395,A587990,Dog,Return to Owner
396,A682192,Dog,Transfer
397,A627272,Cat,Adoption
398,A663827,Dog,Adoption
399,A665813,Dog,Adoption
400,A667327,Dog,Return to Owner
401,A672073,Dog,Transfer
402,A589009,Cat,Return to Owner
403,A693245,Cat,Return to Owner
404,A679579,Cat,Adoption
405,A674688,Cat,Adoption
406,A675669,Dog,Adoption
407,A665668,Cat,Adoption
408,A688850,Dog,Adoption
409,A684576,Dog,Return to Owner
410,A685553,Dog,Return to Owner
411,A681870,Dog,Return to Owner
412,A693864,Dog,Adoption
413,A667007,Cat,Transfer
414,A669181,Dog,Adoption
415,A664666,Dog,Return to Owner
416,A691897,Other,Euthanasia
417,A675115,Cat,Adoption
418,A677948,Other,Euthanasia
419,A652261,Dog,Return to Owner
420,A664442,Cat,Adoption
421,A691861,Dog,Euthanasia
422,A689499,Cat,Adoption
423,A666677,Cat,Died
424,A674737,Cat,Adoption
425,A693037,Dog,Return to Owner
426,A674564,Cat,Transfer
427,A670692,Dog,Transfer
428,A672468,Dog,Adoption
429,A676440,Cat,Transfer
430,A662822,Cat,Transfer
431,A668535,Dog,Adoption
432,A677216,Cat,Transfer
433,A682646,Other,Died
434,A672808,Dog,Adoption
435,A687041,Cat,Transfer
436,A693991,Dog,Return to Owner
437,A689349,Cat,Transfer
438,A683111,Dog,Return to Owner
439,A683534,Dog,Adoption
440,A673115,Dog,Transfer
441,A667884,Dog,Transfer
442,A668549,Cat,Transfer
443,A665481,Dog,Transfer
444,A690854,Dog,Return to Owner
445,A635698,Cat,Adoption
446,A687495,Cat,Transfer
447,A664070,Cat,Transfer
448,A688869,Dog,Return to Owner
449,A680574,Dog,Adoption
450,A668908,Cat,Return to Owner
451,A669944,Dog,Transfer
452,A678735,Dog,Transfer
453,A672237,Dog,Adoption
454,A668499,Dog,Transfer
455,A683997,Dog,Euthanasia
456,A693392,Dog,Transfer
457,A668683,Cat,Adoption
458,A689399,Dog,Return to Owner
459,A676213,Cat,Transfer
460,A664266,Dog,Transfer
461,A674396,Cat,Transfer
462,A686214,Cat,Transfer
463,A683238,Cat,Transfer
464,A669641,Dog,Return to Owner
465,A680461,Cat,Adoption
466,A677282,Cat,Adoption
467,A690375,Dog,Adoption
468,A665145,Cat,Adoption
469,A668172,Dog,Adoption
470,A686795,Cat,Transfer
471,A688059,Cat,Euthanasia
472,A688519,Cat,Adoption
473,A668942,Dog,Return to Owner
474,A673851,Dog,Euthanasia
475,A688958,Dog,Adoption
476,A682075,Cat,Transfer
477,A679737,Cat,Transfer
478,A679717,Cat,Transfer
479,A672589,Cat,Euthanasia
480,A672516,Cat,Transfer
481,A680307,Dog,Adoption
482,A664461,Dog,Adoption
483,A616640,Dog,Return to Owner
484,A693908,Dog,Transfer
485,A666154,Cat,Adoption
486,A691302,Dog,Adoption
487,A664959,Dog,Transfer
488,A678646,Dog,Return to Owner
489,A669548,Dog,Transfer
490,A675350,Dog,Adoption
491,A675927,Dog,Return to Owner
492,A681365,Dog,Adoption
493,A670830,Cat,Adoption
494,A664157,Dog,Adoption
495,A674282,Cat,Adoption
496,A683186,Cat,Transfer
497,A691275,Cat,Adoption
498,A674726,Cat,Return to Owner
499,A685949,Cat,Adoption
500,A670892,Cat,Adoption
501,A671102,Dog,Transfer
502,A655092,Dog,Adoption
503,A681678,Dog,Adoption
504,A678719,Dog,Adoption
505,A667109,Dog,Adoption
506,A678198,Cat,Transfer
507,A694129,Dog,Return to Owner
508,A686804,Dog,Transfer
509,A679665,Dog,Transfer
510,A689268,Cat,Transfer
511,A679696,Cat,Adoption
512,A682837,Cat,Transfer
513,A681531,Cat,Transfer
514,A676170,Cat,Adoption
515,A688321,Cat,Euthanasia
516,A678650,Cat,Return to Owner
517,A668863,Dog,Adoption
518,A686466,Cat,Transfer
519,A663740,Dog,Adoption
520,A679923,Cat,Adoption
521,A692524,Dog,Adoption
522,A680145,Dog,Transfer
523,A676607,Dog,Adoption
524,A668405,Cat,Return to Owner
525,A669603,Cat,Euthanasia
526,A463218,Dog,Transfer
527,A668923,Dog,Adoption
528,A691380,Dog,Adoption
529,A682002,Cat,Transfer
530,A685147,Cat,Adoption
531,A675482,Cat,Transfer
532,A669791,Cat,Transfer
533,A689965,Cat,Euthanasia
534,A688158,Cat,Transfer
535,A688809,Cat,Transfer
536,A667834,Dog,Adoption
537,A668372,Dog,Adoption
538,A693282,Dog,Return to Owner
539,A675125,Cat,Euthanasia
540,A685014,Dog,Transfer
541,A678998,Dog,Return to Owner
542,A689193,Cat,Euthanasia
543,A683797,Cat,Transfer
544,A691815,Dog,Adoption
545,A665313,Dog,Adoption
546,A665091,Dog,Transfer
547,A678823,Cat,Transfer
548,A627604,Cat,Transfer
549,A688096,Cat,Adoption
550,A675208,Dog,Return to Owner
551,A622128,Dog,Adoption
552,A673768,Other,Euthanasia
553,A671137,Dog,Adoption
554,A679292,Cat,Died
555,A687682,Cat,Transfer
556,A647491,Dog,Adoption
557,A676362,Dog,Return to Owner
558,A689146,Cat,Euthanasia
559,A667897,Dog,Return to Owner
560,A679452,Cat,Transfer
561,A674929,Cat,Adoption
562,A680094,Cat,Euthanasia
563,A467387,Dog,Euthanasia
564,A668522,Dog,Return to Owner
565,A691420,Dog,Adoption
566,A683657,Cat,Adoption
567,A686467,Dog,Adoption
568,A668746,Cat,Adoption
569,A691990,Dog,Transfer
570,A687017,Cat,Transfer
571,A675462,Cat,Adoption
572,A636746,Dog,Return to Owner
573,A687417,Dog,Adoption
574,A678398,Dog,Euthanasia
575,A668328,Cat,Adoption
576,A671160,Cat,Transfer
577,A665084,Cat,Transfer
578,A669010,Dog,Transfer
579,A668745,Dog,Transfer
580,A616444,Dog,Return to Owner
581,A680680,Dog,Return to Owner
582,A689184,Dog,Adoption
583,A692466,Dog,Transfer
584,A667424,Dog,Transfer
585,A678574,Dog,Transfer
586,A689634,Cat,Transfer
587,A688598,Cat,Transfer
588,A680868,Cat,Transfer
589,A677845,Dog,Return to Owner
590,A659515,Dog,Return to Owner
591,A679031,Cat,Adoption
592,A622128,Dog,Adoption
593,A668834,Dog,Adoption
594,A680340,Dog,Transfer
595,A665666,Cat,Transfer
596,A674361,Other,Died
597,A684011,Cat,Transfer
598,A668442,Dog,Adoption
599,A680380,Cat,Died
600,A673828,Dog,Adoption
601,A687606,Dog,Adoption
602,A685282,Cat,Transfer
603,A663914,Dog,Adoption
604,A684441,Cat,Euthanasia
605,A691384,Dog,Return to Owner
606,A681828,Cat,Transfer
607,A674522,Dog,Return to Owner
608,A686467,Dog,Adoption
609,A681910,Dog,Transfer
610,A687060,Dog,Adoption
611,A678865,Dog,Transfer
612,A683304,Dog,Transfer
613,A681551,Dog,Adoption
614,A608107,Dog,Return to Owner
615,A691754,Dog,Transfer
616,A667798,Dog,Transfer
617,A688627,Cat,Transfer
618,A686974,Cat,Adoption
619,A673425,Other,Euthanasia
620,A673816,Dog,Adoption
621,A686736,Cat,Transfer
622,A667890,Dog,Adoption
623,A664767,Dog,Adoption
624,A693407,Dog,Adoption
625,A680107,Other,Euthanasia
626,A689821,Dog,Return to Owner
627,A690326,Cat,Transfer
628,A549214,Dog,Return to Owner
629,A692370,Cat,Transfer
630,A664745,Dog,Transfer
631,A687585,Dog,Adoption
632,A675068,Dog,Return to Owner
633,A686063,Cat,Euthanasia
634,A683415,Cat,Adoption
635,A673708,Dog,Return to Owner
636,A620178,Dog,Adoption
637,A680129,Cat,Adoption
638,A680527,Dog,Euthanasia
639,A688995,Cat,Transfer
640,A650349,Cat,Transfer
641,A668323,Cat,Transfer
642,A674755,Cat,Transfer
643,A682053,Dog,Adoption
644,A675538,Dog,Transfer
645,A662943,Cat,Adoption
646,A688717,Dog,Adoption
647,A688287,Dog,Euthanasia
648,A679310,Cat,Died
649,A686398,Dog,Transfer
650,A692931,Dog,Adoption
651,A679894,Dog,Transfer
652,A680242,Cat,Transfer
653,A674318,Dog,Transfer
654,A682044,Cat,Adoption
655,A690586,Dog,Adoption
656,A681995,Other,Euthanasia
657,A675411,Other,Euthanasia
658,A665383,Dog,Adoption
659,A673498,Dog,Transfer
660,A667357,Cat,Transfer
661,A679451,Cat,Transfer
662,A682667,Dog,Adoption
663,A630530,Dog,Adoption
664,A691355,Dog,Euthanasia
665,A318500,Dog,Return to Owner
666,A677426,Dog,Adoption
667,A635991,Dog,Return to Owner
668,A681101,Cat,Transfer
669,A688553,Cat,Adoption
670,A682423,Dog,Transfer
671,A673755,Dog,Return to Owner
672,A683200,Cat,Adoption
673,A678051,Cat,Transfer
674,A683861,Dog,Transfer
675,A666516,Dog,Transfer
676,A678645,Other,Transfer
677,A691485,Dog,Adoption
678,A676804,Cat,Adoption
679,A669195,Dog,Euthanasia
680,A664756,Dog,Adoption
681,A691600,Dog,Adoption
682,A673355,Dog,Adoption
683,A674189,Dog,Adoption
684,A691496,Cat,Adoption
685,A663957,Dog,Adoption
686,A682058,Other,Euthanasia
687,A665893,Cat,Return to Owner
688,A691626,Cat,Euthanasia
689,A665961,Dog,Transfer
690,A664941,Dog,Return to Owner
691,A672194,Cat,Adoption
692,A690804,Cat,Transfer
693,A666538,Dog,Return to Owner
694,A671534,Cat,Adoption
695,A667951,Cat,Adoption
696,A692583,Dog,Adoption
697,A680764,Dog,Adoption
698,A684101,Dog,Transfer
699,A667950,Dog,Adoption
700,A676084,Cat,Adoption
701,A693840,Dog,Return to Owner
702,A676817,Dog,Return to Owner
703,A665902,Other,Euthanasia
704,A690335,Dog,Adoption
705,A665425,Cat,Adoption
706,A584195,Dog,Return to Owner
707,A669523,Other,Euthanasia
708,A685559,Cat,Transfer
709,A669736,Dog,Adoption
710,A676407,Dog,Return to Owner
711,A676432,Dog,Return to Owner
712,A678202,Cat,Adoption
713,A510475,Dog,Return to Owner
714,A675219,Dog,Adoption
715,A683992,Dog,Died
716,A688910,Dog,Return to Owner
717,A688967,Cat,Transfer
718,A679723,Cat,Transfer
719,A671938,Cat,Adoption
720,A678385,Cat,Transfer
721,A687458,Cat,Adoption
722,A649365,Dog,Adoption
723,A693770,Cat,Adoption
724,A678867,Cat,Transfer
725,A673988,Dog,Adoption
726,A671820,Dog,Adoption
727,A674461,Dog,Transfer
728,A664306,Dog,Transfer
729,A674391,Dog,Transfer
730,A685652,Cat,Transfer
731,A668421,Dog,Euthanasia
732,A664179,Dog,Transfer
733,A685062,Cat,Adoption
734,A682003,Dog,Adoption
735,A669922,Dog,Return to Owner
736,A690811,Cat,Transfer
737,A673922,Other,Euthanasia
738,A676948,Cat,Transfer
739,A677654,Dog,Return to Owner
740,A665896,Cat,Adoption
741,A665256,Cat,Euthanasia
742,A671475,Dog,Transfer
743,A683328,Cat,Adoption
744,A677049,Dog,Return to Owner
745,A666395,Dog,Adoption
746,A668560,Cat,Adoption
747,A690327,Cat,Transfer
748,A642922,Dog,Return to Owner
749,A672188,Dog,Adoption
750,A682828,Cat,Transfer
751,A683418,Cat,Transfer
752,A676543,Dog,Transfer
753,A664786,Other,Died
754,A680652,Dog,Return to Owner
755,A681992,Dog,Adoption
756,A681999,Dog,Transfer
757,A664265,Cat,Adoption
758,A687690,Cat,Transfer
759,A667284,Dog,Euthanasia
760,A693523,Dog,Adoption
761,A690849,Dog,Transfer
762,A672956,Dog,Transfer
763,A692813,Dog,Return to Owner
764,A632020,Dog,Euthanasia
765,A666536,Cat,Euthanasia
766,A591983,Dog,Transfer
767,A683875,Cat,Transfer
768,A664929,Other,Euthanasia
769,A666752,Dog,Return to Owner
770,A667606,Cat,Adoption
771,A685831,Dog,Transfer
772,A688420,Dog,Adoption
773,A670007,Cat,Transfer
774,A667349,Other,Transfer
775,A686996,Cat,Transfer
776,A674417,Dog,Adoption
777,A677306,Cat,Adoption
778,A691704,Cat,Transfer
779,A668743,Cat,Adoption
780,A679315,Cat,Adoption
781,A685106,Cat,Adoption
782,A690217,Dog,Euthanasia
783,A691675,Dog,Adoption
784,A668401,Dog,Adoption
785,A674463,Dog,Transfer
786,A671528,Cat,Transfer
787,A665681,Dog,Adoption
788,A678179,Dog,Return to Owner
789,A684965,Cat,Transfer
790,A666229,Dog,Transfer
791,A659832,Dog,Adoption
792,A629207,Dog,Euthanasia
793,A665611,Cat,Transfer
794,A679487,Cat,Transfer
795,A665609,Cat,Transfer
796,A648775,Cat,Transfer
797,A691385,Dog,Return to Owner
798,A685358,Cat,Transfer
799,A687137,Cat,Adoption
800,A610401,Dog,Adoption
801,A670313,Dog,Adoption
802,A686629,Dog,Adoption
803,A688428,Dog,Adoption
804,A666842,Dog,Transfer
805,A674925,Dog,Adoption
806,A672090,Dog,Return to Owner
807,A667232,Dog,Adoption
808,A669477,Dog,Transfer
809,A677278,Cat,Transfer
810,A666109,Cat,Adoption
811,A685417,Cat,Return to Owner
812,A689257,Dog,Adoption
813,A672746,Dog,Return to Owner
814,A676705,Cat,Transfer
815,A668705,Cat,Adoption
816,A662264,Dog,Adoption
817,A681986,Cat,Transfer
818,A665604,Dog,Transfer
819,A680949,Dog,Adoption
820,A685620,Other,Died
821,A668962,Other,Euthanasia
822,A669640,Dog,Return to Owner
823,A664522,Dog,Transfer
824,A686297,Dog,Euthanasia
825,A670407,Dog,Adoption
826,A679702,Dog,Adoption
827,A692355,Cat,Transfer
828,A664042,Dog,Euthanasia
829,A679797,Cat,Transfer
830,A690075,Cat,Transfer
831,A685145,Cat,Adoption
832,A682583,Dog,Adoption
833,A682065,Cat,Euthanasia
834,A672258,Dog,Adoption
835,A692905,Dog,Adoption
836,A676400,Cat,Transfer
837,A651452,Dog,Adoption
838,A681570,Dog,Adoption
839,A686224,Cat,Transfer
840,A687766,Cat,Transfer
841,A669759,Dog,Adoption
842,A672488,Dog,Transfer
843,A678376,Cat,Died
844,A570741,Dog,Return to Owner
845,A689989,Cat,Return to Owner
846,A674550,Dog,Euthanasia
847,A689401,Dog,Transfer
848,A677364,Cat,Transfer
849,A622351,Dog,Transfer
850,A669983,Dog,Return to Owner
851,A674393,Dog,Adoption
852,A674736,Cat,Adoption
853,A683139,Cat,Transfer
854,A691096,Dog,Transfer
855,A682974,Cat,Transfer
856,A631963,Dog,Return to Owner
857,A688093,Dog,Adoption
858,A669309,Dog,Transfer
859,A685096,Cat,Transfer
860,A689765,Cat,Adoption
861,A682286,Cat,Adoption
862,A691984,Dog,Adoption
863,A689140,Dog,Return to Owner
864,A683526,Cat,Transfer
865,A674985,Dog,Return to Owner
866,A686812,Cat,Adoption
867,A682544,Dog,Adoption
868,A676345,Dog,Adoption
869,A664641,Cat,Transfer
870,A660675,Other,Transfer
871,A691439,Cat,Transfer
872,A676919,Dog,Transfer
873,A690004,Cat,Transfer
874,A672404,Cat,Transfer
875,A691849,Dog,Adoption
876,A631581,Dog,Adoption
877,A665376,Dog,Euthanasia
878,A686312,Cat,Euthanasia
879,A676565,Dog,Transfer
880,A678881,Dog,Adoption
881,A681090,Dog,Adoption
882,A683938,Dog,Adoption
883,A680478,Cat,Transfer
884,A686582,Dog,Transfer
885,A667321,Other,Euthanasia
886,A678677,Dog,Transfer
887,A676657,Cat,Transfer
888,A674895,Cat,Return to Owner
889,A664369,Dog,Return to Owner
890,A664916,Dog,Transfer
891,A689460,Dog,Return to Owner
892,A674546,Dog,Adoption
893,A688029,Cat,Transfer
894,A690927,Cat,Euthanasia
895,A681455,Dog,Adoption
896,A691788,Cat,Transfer
897,A581151,Dog,Return to Owner
898,A689744,Dog,Adoption
899,A681406,Dog,Transfer
900,A682485,Cat,Transfer
901,A674521,Cat,Transfer
902,A677685,Cat,Transfer
903,A675152,Dog,Transfer
904,A676309,Dog,Transfer
