,Animal ID,Type,Outcome Type
0,A395686,Dog,Return To Owner
1,A379968,Dog,Transfer
2,A374010,Cat,Adoption
3,A315553,Dog,Adoption
4,A368064,Dog,Adoption
5,A398868,Dog,Return To Owner
6,A392287,Other,Transfer
7,A398093,Cat,Adoption
8,A395721,Dog,Return To Owner
9,A394214,Dog,Transfer
10,A394347,Other,Adoption
11,A312984,Dog,Transfer
12,A395624,Cat,Return To Owner
13,A394346,Other,Adoption
14,A396582,Dog,Transfer
15,A395566,Cat,Adoption
16,A396583,Dog,Adoption
17,A400337,Cat,Transfer
18,A400094,Dog,Transfer
19,A394359,Cat,Euthanize
20,A396829,Other,Euthanize
21,A375098,Cat,Adoption
22,A399287,Cat,Transfer
23,A394231,Dog,Transfer
24,A392034,Other,Transfer
25,A396584,Dog,Adoption
26,A393671,Other,Adoption
27,A398094,Cat,Adoption
28,A398095,Cat,Adoption
29,A395759,Cat,Return To Owner
30,A397926,Other,Return To Owner
31,A393404,Dog,Return To Owner
32,A397866,Other,Return To Owner
33,A266529,Dog,Return To Owner
34,A397932,Other,Return To Owner
35,A395473,Other,Transfer
36,A395184,Dog,Adoption
37,A383072,Dog,Return To Owner
38,A302576,Dog,Return To Owner
39,A397933,Other,Return To Owner
40,A397927,Other,Return To Owner
41,A400270,Cat,Adoption
42,A395184,Dog,Return To Owner
43,A398410,Dog,Return To Owner
44,A395184,Dog,Return To Owner
45,A395763,Dog,Return To Owner
46,A393448,Dog,Transfer
47,A379273,Dog,Adoption
48,A396164,Dog,Return To Owner
49,A397929,Other,Return To Owner
50,A396485,Dog,Adoption
51,A396231,Dog,Adoption
52,A399521,Dog,Transfer
53,A337577,Dog,Return To Owner
54,A397925,Other,Return To Owner
55,A397930,Other,Return To Owner
56,A397974,Dog,Return To Owner
57,A397924,Other,Return To Owner
58,A395074,Cat,Return To Owner
59,A396275,Dog,Adoption
60,A399376,Dog,Transfer
61,A304883,Dog,Return To Owner
62,A393928,Dog,Euthanize
63,A337813,Dog,Adoption
64,A309336,Cat,Transfer
65,A398413,Cat,Euthanize
66,A397931,Other,Return To Owner
67,A398409,Dog,Return To Owner
68,A374639,Cat,Adoption
69,A220752,Dog,Return To Owner
70,A393278,Cat,Euthanize
71,A398870,Dog,Return To Owner
72,A374450,Cat,Adoption
73,A393291,Other,Return To Owner
74,A393428,Cat,Euthanize
75,A392270,Cat,Euthanize
76,A367717,Dog,Return To Owner
77,A393417,Dog,Return To Owner
78,A398871,Dog,Return To Owner
79,A263005,Dog,Return To Owner
80,A312718,Cat,Adoption
81,A399510,Dog,Transfer
82,A400271,Cat,Adoption
83,A354761,Dog,Rtos
84,A389164,Dog,Adoption
85,A328035,Dog,Return To Owner
86,A395510,Dog,Adoption
87,A328035,Dog,Return To Owner
88,A393473,Dog,Return To Owner
89,A393473,Dog,Return To Owner
90,A396870,Dog,Return To Owner
91,A335926,Dog,Adoption
92,A330648,Dog,Adoption
93,A329869,Dog,Adoption
94,A395796,Dog,Return To Owner
95,A391988,Cat,Adoption
96,A390325,Dog,Return To Owner
97,A395762,Dog,Return To Owner
98,A395440,Dog,Adoption
99,A336587,Dog,Return To Owner
100,A398266,Dog,Return To Owner
101,A398064,Dog,Euthanize
102,A385080,Dog,Return To Owner
103,A395105,Dog,Return To Owner
104,A394351,Cat,Adoption
105,A394369,Dog,Adoption
106,A390346,Dog,Adoption
107,A310156,Other,Adoption
108,A342086,Dog,Transfer
109,A026974,Dog,Return To Owner
110,A393932,Dog,Adoption
111,A395581,Dog,Adoption
112,A368184,Dog,Return To Owner
113,A372431,Dog,Return To Owner
114,A393378,Cat,Return To Owner
115,A393398,Dog,Return To Owner
116,A242054,Dog,Return To Owner
117,A393457,Dog,Return To Owner
118,A391125,Dog,Euthanize
119,A395616,Dog,Adoption
120,A295565,Dog,Return To Owner
121,A392250,Dog,Euthanize
122,A397635,Dog,Return To Owner
123,A328035,Dog,Return To Owner
124,A394370,Dog,Adoption
126,A397634,Dog,Return To Owner
127,A393386,Dog,Transfer
128,A393739,Cat,Adoption
129,A394194,Cat,Adoption
130,A394402,Dog,Transfer
131,A397776,Cat,Adoption
132,A394368,Dog,Adoption
133,A308517,Dog,Return To Owner
134,A394401,Dog,Transfer
135,A400481,Cat,Euthanize
136,A394232,Dog,Transfer
137,A397695,Cat,Adoption
138,A395094,Dog,Rtos
139,A394300,Dog,Transfer
140,A285149,Dog,Euthanize
141,A308888,Cat,Adoption
142,A398852,Dog,Return To Owner
143,A398937,Cat,Euthanize
144,A396103,Dog,Return To Owner
145,A329704,Dog,Return To Owner
146,A398853,Dog,Return To Owner
147,A393472,Dog,Return To Owner
148,A400455,Other,Transfer
149,A393392,Dog,Return To Owner
150,A393395,Other,Disposal
151,A339547,Cat,Adoption
152,A339512,Cat,Adoption
153,A392047,Dog,Transfer
154,A393447,Cat,Euthanize
155,A304582,Other,Adoption
156,A393472,Dog,Return To Owner
157,A400351,Other,Transfer
158,A311623,Other,Adoption
159,A361461,Dog,Return To Owner
160,A395179,Dog,Return To Owner
161,A360756,Dog,Return To Owner
162,A391854,Dog,Adoption
163,A342432,Dog,Return To Owner
164,A395166,Dog,Transfer
165,A400570,Cat,Appt
166,A395817,Cat,Euthanize
167,A314834,Dog,Return To Owner
168,A316338,Dog,Return To Owner
169,A396212,Dog,Transfer
170,A400352,Other,Transfer
171,A329705,Dog,Return To Owner
172,A393450,Dog,Return To Owner
173,A277759,Dog,Return To Owner
174,A393493,Dog,Return To Owner
175,A367802,Dog,Return To Owner
176,A326450,Dog,Return To Owner
177,A326433,Dog,Return To Owner
178,A326444,Cat,Return To Owner
179,A038792,Dog,Return To Owner
180,A356405,Dog,Return To Owner
181,A393445,Cat,Return To Owner
182,A329702,Dog,Return To Owner
183,A393434,Dog,Return To Owner
184,A398061,Cat,Euthanize
185,A393475,Dog,Return To Owner
186,A368066,Dog,Adoption
187,A398767,Dog,Return To Owner
188,A391660,Dog,Euthanize
189,A393494,Other,Euthanize
190,A396652,Dog,Return To Owner
191,A398677,Cat,Euthanize
192,A396860,Dog,Return To Owner
193,A396404,Dog,Euthanize
194,A400565,Other,Disposal
195,A381107,Dog,Adoption
196,A397633,Dog,Transfer
197,A326432,Dog,Return To Owner
198,A326446,Cat,Return To Owner
199,A389406,Dog,Transfer
200,A326440,Dog,Return To Owner
201,A326449,Cat,Return To Owner
202,A326443,Cat,Return To Owner
203,A311105,Dog,Adoption
204,A395190,Dog,Return To Owner
205,A398923,Dog,Return To Owner
206,A326447,Cat,Return To Owner
207,A326442,Cat,Return To Owner
208,A339164,Dog,Adoption
209,A372803,Dog,Return To Owner
210,A391869,Dog,Transfer
211,A393405,Dog,Return To Owner
212,A326436,Dog,Return To Owner
213,A393406,Dog,Return To Owner
214,A395202,Cat,Euthanize
215,A391899,Dog,Transfer
216,A393527,Dog,Return To Owner
217,A326435,Dog,Return To Owner
218,A326441,Dog,Return To Owner
219,A393495,Dog,Euthanize
220,A326448,Cat,Return To Owner
221,A333197,Dog,Return To Owner
222,A326431,Dog,Return To Owner
223,A395094,Dog,Transfer
224,A336507,Dog,Transfer
225,A326438,Dog,Return To Owner
226,A396902,Dog,Return To Owner
227,A393477,Dog,Return To Owner
228,A336507,Dog,Return To Owner
229,A395183,Dog,Return To Owner
230,A396901,Dog,Return To Owner
231,A326445,Cat,Return To Owner
232,A326437,Dog,Return To Owner
233,A326439,Dog,Return To Owner
234,A397443,Dog,Transfer
235,A395828,Dog,Return To Owner
236,A372803,Dog,Return To Owner
237,A362519,Dog,Transfer
238,A395810,Dog,Return To Owner
239,A395563,Dog,Return To Owner
240,A398918,Other,Transfer
241,A318118,Dog,Return To Owner
242,A362519,Dog,Return To Owner
243,A398423,Dog,Adoption
244,A336507,Dog,Return To Owner
245,A389058,Dog,Adoption
246,A334632,Dog,Return To Owner
247,A398422,Dog,Return To Owner
248,A347929,Dog,Return To Owner
249,A400531,Dog,Return To Owner
250,A398849,Cat,Adoption
251,A033894,Dog,Adoption
252,A395196,Dog,Return To Owner
253,A398323,Dog,Return To Owner
254,A395197,Dog,Return To Owner
255,A394192,Cat,Adoption
256,A395198,Dog,Return To Owner
257,A392230,Dog,Return To Owner
258,A348160,Dog,Return To Owner
259,A398819,Dog,Return To Owner
260,A395208,Dog,Return To Owner
261,A329379,Cat,Adoption
262,A400601,Dog,Return To Owner
263,A300715,Dog,Return To Owner
264,A395220,Dog,Return To Owner
265,A328591,Dog,Return To Owner
266,A363668,Dog,Return To Owner
267,A391324,Cat,Adoption
268,A329641,Dog,Adoption
269,A278854,Dog,Return To Owner
270,A342412,Dog,Adoption
271,A395205,Dog,Return To Owner
272,A396274,Dog,Adoption
273,A397748,Dog,Transfer
274,A398422,Dog,Return To Owner
275,A363667,Dog,Return To Owner
276,A393521,Dog,Return To Owner
277,A391181,Dog,Return To Owner
278,A393503,Cat,Return To Owner
279,A348159,Dog,Return To Owner
280,A398766,Dog,Return To Owner
281,A249947,Dog,Return To Owner
282,A372683,Dog,Return To Owner
283,A398756,Dog,Return To Owner
284,A398755,Dog,Return To Owner
285,A374423,Dog,Return To Owner
286,A374424,Dog,Return To Owner
287,A397747,Dog,Transfer
288,A400278,Dog,Return To Owner
289,A377429,Dog,Return To Owner
290,A354188,Dog,Adoption
291,A372683,Dog,Return To Owner
292,A262039,Dog,Return To Owner
293,A395879,Dog,Transfer
294,A318914,Dog,Adoption
295,A395586,Other,Transfer
296,A395847,Dog,Return To Owner
297,A393951,Dog,Adoption
298,A394290,Cat,Adoption
299,A395851,Other,Transfer
300,A394406,Cat,Adoption
301,A395587,Other,Transfer
302,A394301,Dog,Return To Owner
303,A394405,Cat,Adoption
304,A395218,Dog,Return To Owner
305,A384218,Dog,Return To Owner
306,A395234,Cat,Euthanize
307,A395183,Dog,Return To Owner
308,A394391,Dog,Adoption
309,A382425,Dog,Return To Owner
310,A346168,Dog,Return To Owner
311,A400159,Dog,Transfer
312,A400471,Dog,Transfer
313,A395685,Dog,Return To Owner
314,A398954,Cat,Transfer
315,A398955,Dog,Return To Owner
316,A395544,Other,Transfer
317,A362328,Dog,Transfer
318,A393565,Other,Euthanize
319,A387350,Cat,Adoption
320,A398955,Dog,Return To Owner
321,A329246,Dog,Adoption
322,A395055,Dog,Adoption
323,A400639,Dog,Return To Owner
324,A309708,Dog,Return To Owner
325,A316335,Dog,Adoption
326,A394301,Dog,Return To Owner
327,A395079,Dog,Return To Owner
328,A396579,Other,Euthanize
329,A312393,Cat,Adoption
330,A386757,Dog,Return To Owner
331,A313903,Dog,Adoption
332,A393498,Cat,Adoption
333,A393597,Cat,Return To Owner
334,A395236,Dog,Return To Owner
335,A296961,Dog,Adoption
336,A363772,Dog,Return To Owner
337,A393561,Cat,Return To Owner
338,A351259,Dog,Adoption
339,A392230,Dog,Adoption
340,A348522,Cat,Adoption
341,A366374,Dog,Return To Owner
342,A393412,Cat,Euthanize
343,A396566,Other,Euthanize
344,A398997,Cat,Transfer
345,A337522,Dog,Adoption
346,A391958,Dog,Return To Owner
347,A391363,Cat,Adoption
348,A393416,Dog,Return To Owner
349,A387350,Cat,Adoption
350,A393513,Cat,Adoption
351,A374683,Cat,Adoption
352,A393508,Cat,Adoption
353,A393509,Cat,Adoption
354,A393515,Cat,Adoption
355,A360042,Cat,Euthanize
356,A396937,Cat,Euthanize
357,A394390,Cat,Adoption
358,A391838,Dog,Transfer
359,A391364,Cat,Adoption
360,A393598,Dog,Return To Owner
361,A398928,Cat,Return To Owner
362,A394367,Dog,Transfer
363,A347717,Dog,Return To Owner
364,A395857,Other,Return To Owner
365,A398927,Cat,Return To Owner
366,A307572,Dog,Transfer
367,A398946,Dog,Return To Owner
368,A398929,Cat,Return To Owner
369,A395491,Dog,Euthanize
370,A395829,Dog,Return To Owner
371,A398996,Cat,Transfer
372,A326739,Dog,Return To Owner
373,A398861,Dog,Return To Owner
374,A395888,Dog,Return To Owner
375,A340215,Cat,Adoption
376,A299196,Dog,Return To Owner
377,A395429,Dog,Transfer
378,A400477,Cat,Transfer
379,A382158,Dog,Adoption
380,A400528,Cat,Transfer
381,A400463,Dog,Transfer
382,A399011,Dog,Return To Owner
383,A395244,Dog,Return To Owner
384,A399012,Dog,Return To Owner
385,A331444,Dog,Adoption
386,A394215,Cat,Adoption
387,A400536,Cat,Transfer
388,A400478,Cat,Transfer
389,A400454,Dog,Transfer
390,A400431,Dog,Transfer
391,A400459,Dog,Transfer
392,A400392,Cat,Transfer
393,A398940,Dog,Return To Owner
394,A399069,Other,Transfer
395,A399072,Other,Transfer
396,A399073,Other,Transfer
397,A398100,Cat,Adoption
398,A326114,Dog,Return To Owner
399,A393674,Dog,Return To Owner
400,A400458,Cat,Transfer
401,A400475,Cat,Transfer
402,A400268,Dog,Transfer
403,A393630,Dog,Return To Owner
404,A393511,Cat,Adoption
405,A393601,Cat,Transfer
406,A393627,Dog,Return To Owner
407,A369288,Dog,Adoption
408,A383329,Dog,Return To Owner
409,A378300,Dog,Adoption
410,A400476,Cat,Transfer
411,A391368,Cat,Adoption
412,A341335,Dog,Adoption
413,A400073,Dog,Transfer
414,A400109,Dog,Transfer
415,A342146,Dog,Return To Owner
416,A389009,Dog,Adoption
417,A393678,Cat,Return To Owner
418,A396164,Dog,Euthanize
419,A396936,Dog,Return To Owner
420,A396743,Dog,Euthanize
421,A394345,Dog,Transfer
422,A308748,Cat,Adoption
423,A396928,Dog,Return To Owner
424,A400602,Cat,Transfer
425,A396933,Dog,Return To Owner
426,A400466,Dog,Transfer
427,A400110,Dog,Transfer
428,A400465,Dog,Transfer
429,A400047,Dog,Transfer
430,A400372,Dog,Transfer
431,A400482,Cat,Transfer
432,A400217,Dog,Transfer
433,A400464,Dog,Transfer
434,A399306,Dog,Transfer
435,A400462,Dog,Transfer
436,A400138,Cat,Transfer
437,A399910,Dog,Transfer
438,A308172,Dog,Return To Owner
439,A256089,Dog,Transfer
440,A400367,Dog,Transfer
441,A396298,Dog,Return To Owner
442,A395633,Other,Adoption
443,A393443,Cat,Return To Owner
444,A342399,Dog,Return To Owner
445,A371922,Dog,Return To Owner
446,A393691,Dog,Return To Owner
447,A340279,Dog,Return To Owner
448,A378601,Dog,Return To Owner
449,A346263,Dog,Return To Owner
450,A339486,Dog,Return To Owner
451,A395284,Dog,Return To Owner
452,A399071,Other,Transfer
453,A341446,Dog,Return To Owner
454,A395080,Dog,Adoption
455,A395057,Dog,Adoption
456,A362780,Dog,Adoption
457,A367977,Dog,Return To Owner
458,A373937,Dog,Transfer
459,A382440,Dog,Rtos
460,A399070,Other,Transfer
461,A376279,Dog,Return To Owner
462,A394398,Dog,Transfer
463,A321697,Dog,Return To Owner
464,A395078,Dog,Adoption
465,A398089,Cat,Adoption
466,A399091,Other,Transfer
467,A398099,Cat,Adoption
468,A329591,Dog,Return To Owner
469,A376318,Dog,Return To Owner
470,A386202,Dog,Euthanize
471,A399090,Dog,Return To Owner
472,A342399,Dog,Return To Owner
473,A398088,Cat,Adoption
474,A399090,Dog,Return To Owner
475,A399090,Dog,Return To Owner
476,A398101,Cat,Adoption
477,A384789,Dog,Return To Owner
478,A329118,Dog,Adoption
479,A398087,Cat,Adoption
480,A257535,Dog,Return To Owner
481,A342399,Dog,Return To Owner
482,A388797,Dog,Return To Owner
483,A367977,Dog,Return To Owner
484,A382440,Dog,Return To Owner
485,A390358,Dog,Return To Owner
486,A395632,Other,Adoption
487,A354607,Dog,Adoption
488,A396954,Other,Euthanize
489,A391181,Dog,Return To Owner
490,A311876,Dog,Adoption
491,A229901,Dog,Return To Owner
492,A384459,Dog,Return To Owner
493,A390358,Dog,Return To Owner
494,A242054,Dog,Rtos
495,A240360,Dog,Transfer
496,A393451,Other,Transfer
497,A327026,Dog,Adoption
498,A396949,Cat,Euthanize
499,A378357,Dog,Return To Owner
500,A393451,Other,Euthanize
501,A349145,Dog,Adoption
502,A378357,Dog,Return To Owner
503,A393497,Dog,Transfer
504,A393313,Other,Transfer
505,A383093,Dog,Transfer
506,A391381,Cat,Adoption
507,A385267,Dog,Return To Owner
508,A394429,Other,Transfer
509,A393793,Cat,Adoption
510,A031347,Dog,Return To Owner
511,A226694,Dog,Return To Owner
512,A377389,Dog,Transfer
513,A395255,Dog,Return To Owner
514,A376118,Dog,Return To Owner
515,A365518,Dog,Return To Owner
516,A356715,Dog,Return To Owner
517,A395320,Dog,Return To Owner
518,A394206,Dog,Adoption
519,A384718,Dog,Adoption
520,A395057,Dog,Adoption
521,A391887,Dog,Return To Owner
522,A394397,Other,Transfer
523,A396854,Cat,Euthanize
524,A395562,Dog,Return To Owner
525,A395573,Dog,Return To Owner
526,A395185,Dog,Euthanize
527,A357197,Dog,Return To Owner
528,A381653,Dog,Adoption
529,A389406,Dog,Adoption
530,A400657,Dog,Return To Owner
531,A300823,Dog,Return To Owner
532,A397778,Dog,Transfer
533,A391887,Dog,Return To Owner
534,A393744,Dog,Return To Owner
535,A357196,Dog,Return To Owner
536,A379559,Dog,Return To Owner
537,A397530,Dog,Transfer
538,A393710,Cat,Adoption
539,A398341,Dog,Transfer
540,A379559,Dog,Return To Owner
541,A379559,Dog,Return To Owner
542,A393514,Cat,Adoption
543,A393496,Cat,Adoption
544,A344870,Dog,Return To Owner
545,A397899,Dog,Transfer
546,A400681,Dog,Return To Owner
547,A395929,Cat,Return To Owner
548,A395927,Dog,Return To Owner
549,A341249,Dog,Return To Owner
550,A264901,Dog,Transfer
551,A395928,Cat,Return To Owner
552,A399102,Dog,Return To Owner
553,A381261,Dog,Return To Owner
554,A386012,Dog,Return To Owner
555,A393737,Dog,Adoption
556,A395097,Cat,Return To Owner
557,A380466,Dog,Return To Owner
558,A395302,Dog,Return To Owner
559,A395353,Dog,Return To Owner
560,A393765,Cat,Adoption
561,A394254,Cat,Adoption
562,A366770,Dog,Euthanize
563,A395919,Cat,Euthanize
564,A395909,Cat,Euthanize
565,A395325,Dog,Return To Owner
566,A400522,Cat,Transfer
567,A393955,Other,Transfer
568,A396276,Dog,Adoption
569,A396953,Dog,Return To Owner
570,A396971,Cat,Euthanize
572,A342048,Dog,Adoption
573,A302933,Dog,Adoption
574,A302934,Dog,Adoption
575,A347960,Dog,Return To Owner
576,A398764,Cat,Transfer
577,A329185,Dog,Return To Owner
578,A393806,Cat,Transfer
579,A395574,Other,Transfer
580,A395575,Other,Transfer
581,A393804,Cat,Transfer
582,A389254,Dog,Return To Owner
583,A393805,Cat,Transfer
584,A389255,Dog,Return To Owner
585,A393764,Cat,Euthanize
586,A301760,Dog,Return To Owner
587,A329192,Dog,Adoption
588,A393695,Cat,Transfer
589,A385931,Dog,Adoption
590,A393617,Cat,Transfer
591,A396536,Dog,Euthanize
592,A394357,Dog,Transfer
593,A400698,Dog,Return To Owner
594,A334626,Dog,Euthanize
595,A400562,Dog,Return To Owner
596,A400620,Dog,Return To Owner
597,A399128,Cat,Disposal
598,A399196,Dog,Return To Owner
599,A367080,Cat,Return To Owner
600,A399142,Dog,Disposal
601,A396138,Dog,Return To Owner
602,A400449,Cat,Return To Owner
603,A400701,Dog,Return To Owner
604,A285893,Dog,Euthanize
605,A400062,Dog,Euthanize
606,A400448,Cat,Return To Owner
607,A400699,Dog,Return To Owner
608,A395946,Dog,Return To Owner
609,A395056,Dog,Transfer
610,A366439,Dog,Return To Owner
611,A338434,Dog,Return To Owner
612,A395386,Cat,Euthanize
613,A365223,Dog,Transfer
614,A383146,Dog,Return To Owner
615,A390814,Dog,Transfer
616,A390192,Dog,Return To Owner
617,A395628,Dog,Adoption
618,A346203,Dog,Return To Owner
619,A392167,Dog,Transfer
620,A392112,Other,Transfer
621,A393305,Dog,Transfer
622,A393454,Dog,Adoption
623,A393297,Dog,Transfer
624,A393525,Dog,Transfer
625,A393840,Dog,Return To Owner
626,A393253,Other,Transfer
627,A392212,Other,Transfer
628,A324383,Dog,Euthanize
629,A393255,Other,Transfer
630,A390192,Dog,Return To Owner
631,A391028,Dog,Return To Owner
632,A390192,Dog,Return To Owner
633,A324382,Dog,Euthanize
634,A328432,Dog,Transfer
635,A022724,Dog,Return To Owner
636,A396987,Dog,Return To Owner
637,A400671,Cat,Appt
638,A400710,Dog,Return To Owner
639,A400584,Cat,Appt
640,A393254,Other,Transfer
641,A400705,Dog,Return To Owner
642,A391595,Dog,Return To Owner
643,A338026,Dog,Return To Owner
644,A400722,Cat,Transfer
645,A338026,Dog,Return To Owner
646,A333076,Dog,Adoption
647,A400583,Cat,Appt
648,A400582,Cat,Appt
649,A399200,Dog,Return To Owner
650,A347062,Dog,Return To Owner
651,A389037,Dog,Return To Owner
652,A389038,Dog,Return To Owner
653,A363888,Cat,Adoption
654,A393858,Other,Transfer
655,A307444,Dog,Return To Owner
656,A391259,Cat,Adoption
657,A373457,Dog,Return To Owner
658,A395376,Cat,Return To Owner
659,A388745,Dog,Return To Owner
660,A388875,Dog,Return To Owner
661,A393849,Cat,Return To Owner
662,A389039,Dog,Return To Owner
663,A389855,Dog,Euthanize
664,A395334,Dog,Return To Owner
665,A395956,Dog,Rtos
666,A386012,Dog,Return To Owner
667,A395262,Dog,Return To Owner
668,A344118,Dog,Return To Owner
669,A395853,Dog,Return To Owner
670,A395583,Other,Transfer
671,A395825,Dog,Transfer
672,A395956,Dog,Return To Owner
673,A395670,Dog,Transfer
674,A351061,Dog,Return To Owner
675,A395811,Other,Adoption
676,A351061,Dog,Return To Owner
677,A342399,Dog,Return To Owner
678,A351061,Dog,Return To Owner
679,A277890,Dog,Transfer
680,A397717,Cat,Adoption
681,A354761,Dog,Transfer
682,A391700,Dog,Transfer
683,A398260,Dog,Transfer
684,A397718,Cat,Adoption
685,A395582,Other,Transfer
686,A397201,Dog,Transfer
687,A396951,Dog,Return To Owner
688,A396474,Dog,Transfer
689,A396873,Dog,Transfer
690,A390426,Dog,Transfer
691,A308868,Dog,Transfer
692,A332411,Dog,Adoption
693,A396952,Dog,Return To Owner
694,A269364,Other,Return To Owner
695,A396855,Dog,Transfer
696,A308867,Dog,Transfer
697,A200778,Dog,Return To Owner
698,A302194,Dog,Adoption
699,A306350,Dog,Adoption
700,A399005,Dog,Return To Owner
701,A313974,Other,Adoption
702,A396272,Dog,Transfer
703,A339993,Cat,Adoption
704,A396875,Dog,Transfer
705,A395900,Dog,Return To Owner
706,A394371,Cat,Transfer
707,A379681,Dog,Return To Owner
708,A395981,Cat,Euthanize
709,A395174,Dog,Adoption
710,A398676,Dog,Transfer
711,A397690,Dog,Return To Owner
712,A391965,Cat,Adoption
713,A397714,Cat,Adoption
714,A386776,Dog,Return To Owner
715,A321181,Dog,Return To Owner
716,A374606,Dog,Return To Owner
717,A379680,Dog,Return To Owner
718,A400286,Dog,Return To Owner
719,A399191,Dog,Return To Owner
720,A398920,Dog,Transfer
721,A399127,Dog,Return To Owner
722,A395975,Dog,Return To Owner
723,A376205,Dog,Return To Owner
724,A399101,Cat,Return To Owner
725,A362572,Cat,Return To Owner
726,A397605,Dog,Transfer
727,A398877,Dog,Transfer
728,A399006,Dog,Return To Owner
729,A379682,Dog,Return To Owner
730,A386004,Dog,Return To Owner
731,A396458,Dog,Transfer
732,A396913,Dog,Transfer
733,A397818,Cat,Adoption
734,A242054,Dog,Transfer
735,A303792,Dog,Adoption
736,A349800,Dog,Euthanize
737,A399004,Dog,Return To Owner
738,A398145,Cat,Adoption
740,A398054,Dog,Transfer
741,A400750,Cat,Euthanize
742,A374609,Dog,Return To Owner
743,A223692,Dog,Return To Owner
744,A397871,Dog,Transfer
745,A400720,Cat,Euthanize
746,A390662,Dog,Return To Owner
747,A374605,Dog,Return To Owner
748,A351260,Other,Transfer
749,A362572,Cat,Return To Owner
750,A366963,Other,Transfer
751,A322309,Other,Transfer
752,A343401,Other,Transfer
753,A322310,Other,Transfer
754,A314311,Other,Transfer
755,A324634,Other,Transfer
756,A387919,Other,Transfer
757,A305985,Other,Transfer
758,A393876,Dog,Return To Owner
759,A353618,Other,Transfer
760,A361070,Other,Transfer
761,A355945,Other,Transfer
762,A305366,Other,Transfer
763,A342096,Other,Transfer
764,A377563,Dog,Euthanize
765,A321818,Other,Transfer
766,A400354,Cat,Transfer
767,A346010,Other,Transfer
768,A374608,Dog,Return To Owner
769,A393733,Dog,Return To Owner
770,A314337,Other,Transfer
771,A368954,Other,Transfer
772,A395284,Dog,Return To Owner
773,A305834,Other,Transfer
774,A306181,Other,Transfer
775,A347581,Dog,Return To Owner
776,A381994,Other,Transfer
777,A321703,Other,Transfer
778,A393848,Dog,Return To Owner
779,A339118,Other,Transfer
780,A368958,Other,Transfer
781,A322311,Other,Transfer
782,A324633,Other,Transfer
783,A372448,Other,Transfer
784,A303666,Other,Transfer
785,A368948,Other,Transfer
786,A305023,Other,Transfer
787,A316426,Other,Transfer
788,A339111,Other,Transfer
789,A382260,Other,Transfer
790,A393731,Dog,Return To Owner
791,A337978,Other,Transfer
792,A353611,Other,Transfer
793,A353610,Other,Transfer
794,A353617,Other,Transfer
795,A363677,Other,Transfer
796,A382028,Dog,Adoption
798,A347153,Other,Transfer
799,A306447,Other,Transfer
800,A353614,Other,Transfer
801,A352550,Other,Transfer
802,A387325,Cat,Euthanize
803,A305370,Other,Transfer
804,A324651,Other,Transfer
805,A372753,Other,Transfer
806,A353619,Other,Transfer
807,A317191,Other,Transfer
808,A366929,Other,Transfer
809,A388840,Other,Transfer
810,A365025,Other,Transfer
811,A354286,Other,Transfer
812,A307081,Other,Transfer
813,A353263,Other,Transfer
814,A339327,Other,Transfer
815,A363675,Other,Transfer
816,A349251,Other,Transfer
817,A368949,Other,Transfer
818,A393876,Dog,Return To Owner
819,A366643,Other,Transfer
820,A301464,Other,Transfer
821,A303898,Other,Transfer
822,A353612,Other,Transfer
823,A395126,Dog,Adoption
824,A334934,Other,Transfer
825,A353613,Other,Transfer
826,A366642,Other,Transfer
827,A367954,Other,Transfer
828,A389316,Other,Transfer
829,A374272,Other,Transfer
830,A390952,Other,Transfer
831,A353615,Other,Transfer
832,A370626,Other,Transfer
833,A337979,Other,Transfer
834,A382258,Other,Transfer
835,A323040,Other,Transfer
836,A353616,Other,Transfer
837,A303226,Other,Transfer
838,A374578,Other,Transfer
839,A339100,Dog,Return To Owner
840,A355749,Other,Transfer
841,A354860,Other,Transfer
842,A375938,Other,Transfer
843,A347154,Other,Transfer
844,A305369,Other,Transfer
845,A353262,Other,Transfer
846,A349846,Other,Transfer
847,A335201,Cat,Escaped/Stolen
848,A354862,Other,Transfer
849,A354861,Other,Transfer
850,A394240,Dog,Adoption
851,A302885,Other,Transfer
852,A366645,Other,Transfer
853,A302886,Other,Transfer
854,A368951,Other,Transfer
855,A362288,Other,Transfer
856,A305372,Other,Transfer
857,A354863,Other,Transfer
858,A326315,Other,Transfer
859,A353261,Other,Transfer
860,A372544,Other,Transfer
861,A317192,Other,Transfer
862,A382259,Other,Transfer
863,A393848,Dog,Return To Owner
864,A345584,Other,Transfer
865,A363676,Other,Transfer
866,A379653,Other,Transfer
867,A335476,Other,Transfer
868,A342095,Other,Transfer
869,A349028,Other,Transfer
870,A366647,Other,Transfer
871,A379654,Other,Transfer
872,A354638,Cat,Euthanize
873,A393770,Dog,Euthanize
874,A311559,Other,Transfer
875,A363813,Other,Euthanize
876,A290114,Dog,Return To Owner
877,A400206,Cat,Adoption
878,A400585,Other,Transfer
879,A393489,Other,Return To Owner
880,A377575,Other,Transfer
881,A395462,Other,Return To Owner
882,A318299,Dog,Adoption
883,A384713,Dog,Return To Owner
884,A393490,Other,Return To Owner
885,A395517,Dog,Return To Owner
886,A337041,Cat,Adoption
887,A337025,Dog,Euthanize
888,A395266,Dog,Adoption
889,A395901,Dog,Adoption
890,A395733,Dog,Adoption
891,A399193,Dog,Return To Owner
892,A398416,Cat,Euthanize
