,Animal ID,Type,Outcome Type
8468,A324737,Cat,Return To Owner
8469,A330580,Dog,Adoption
8470,A375829,Cat,Adoption
8471,A372741,Dog,Return To Owner
8472,A340225,Dog,Return To Owner
8473,A307818,Cat,Transfer
8474,A374935,Cat,Disposal
8475,A338535,Cat,Adoption
8476,A333100,Dog,Return To Owner
8477,A324981,Dog,Return To Owner
8478,A369290,Dog,Adoption
8479,A387054,Cat,Transfer
8480,A251017,Dog,Adoption
8481,A384150,Other,Adoption
8482,A329893,Dog,Transfer
8483,A266163,Dog,Return To Owner
8484,A204634,Dog,Return To Owner
8485,A233351,Dog,Transfer
8486,A325071,Dog,Adoption
8487,A345646,Dog,Adoption
8488,A339273,Cat,Adoption
8489,A309376,Dog,Adoption
8490,A334349,Dog,Adoption
8491,A365258,Dog,Adoption
8492,A327687,Cat,Escaped/Stolen
8493,A354023,Cat,Euthanize
8494,A373738,Dog,Adoption
8495,A321139,Cat,Adoption
8496,A366650,Dog,Adoption
8497,A335965,Cat,Disposal
8498,A228254,Dog,Return To Owner
8499,A385938,Cat,Euthanize
8500,A324536,Dog,Adoption
8501,A351206,Dog,Return To Owner
8502,A353952,Dog,Transfer
8503,A326792,Dog,Return To Owner
8504,A311400,Cat,Transfer
8505,A329939,Other,Euthanize
8506,A386778,Dog,Return To Owner
8507,A347045,Dog,Return To Owner
8508,A329629,Dog,Return To Owner
8509,A301922,Dog,Adoption
8510,A310001,Dog,Return To Owner
8511,A314948,Dog,Euthanize
8512,A330925,Dog,Adoption
8513,A389066,Cat,Transfer
8514,A324106,Dog,Return To Owner
8515,A330264,Cat,Return To Owner
8516,A332348,Cat,Adoption
8517,A344732,Dog,Euthanize
8518,A301522,Dog,Return To Owner
8519,A288146,Dog,Euthanize
8520,A244774,Dog,Euthanize
8521,A374599,Cat,Adoption
8522,A266163,Dog,Return To Owner
8523,A328707,Cat,Adoption
8524,A315754,Other,Euthanize
8525,A305105,Dog,Return To Owner
8526,A259313,Dog,Euthanize
8527,A308893,Dog,Return To Owner
8528,A366889,Dog,Return To Owner
8529,A293291,Dog,Return To Owner
8530,A387954,Dog,Adoption
8531,A309249,Dog,Euthanize
8532,A336532,Dog,Transfer
8533,A307586,Dog,Return To Owner
8534,A321101,Cat,Euthanize
8535,A323300,Dog,Adoption
8536,A304521,Dog,Return To Owner
8537,A391023,Cat,Return To Owner
8538,A377596,Dog,Return To Owner
8539,A269224,Cat,Adoption
8540,A303059,Dog,Euthanize
8541,A275891,Dog,Return To Owner
8542,A363883,Cat,Transfer
8543,A315552,Cat,Euthanize
8544,A352240,Dog,Return To Owner
8545,A308312,Cat,Adoption
8546,A331655,Dog,Return To Owner
8547,A365542,Dog,Return To Owner
8548,A328030,Dog,Return To Owner
8549,A302680,Cat,Euthanize
8550,A320839,Dog,Adoption
8551,A362677,Other,Adoption
8552,A351111,Other,Transfer
8553,A339530,Cat,Transfer
8554,A324730,Cat,Adoption
8555,A353211,Dog,Return To Owner
8556,A366683,Cat,Euthanize
8557,A374861,Dog,Return To Owner
8558,A313770,Dog,Return To Owner
8559,A300909,Other,Adoption
8560,A377609,Dog,Adoption
8561,A332394,Cat,Adoption
8562,A281990,Cat,Adoption
8563,A341593,Cat,Adoption
8564,A307655,Dog,Adoption
8565,A332622,Other,Adoption
8566,A302079,Cat,Return To Owner
8567,A307891,Cat,Adoption
8568,A370973,Dog,Adoption
8569,A352551,Other,Euthanize
8570,A370995,Cat,Euthanize
8571,A303152,Dog,Return To Owner
8572,A366969,Dog,Adoption
8573,A353805,Dog,Return To Owner
