,city,country,id,latitude,longitude,name,state,zip
8330,Battle Creek,US,MI395,42.322,-85.1601,Companion Cats,MI,49017
8331,Battle Creek,US,MI927,42.322,-85.1601,Four Paws 2 Rescue,MI,49017
8332,Trufant,US,MI321,43.3264,-85.3411,Peke A Tzu Rescue,MI,49347
8333,Marshfield,US,WI394,44.6384,-90.1887,Marshfield Area Pet Shelter,WI,54449
8334,Hazleton,US,IA254,42.613,-91.9069,Otter Creek Animal Shelter,IA,50641
8335,Black River Falls,US,WI325,44.2963,-90.8545,Jackson County Animal Shelter,WI,54615
8336,Larwill,US,IN632,41.1845,-85.6202,Furry Friends of Indiana - Warsaw,IN,46764
8337,Atkins,US,IA164,41.9926,-91.8588,"Great Pyrenees Rescue of Iowa, Inc.",IA,52206
8338,Lake Odessa,US,MI133,42.8318,-85.1241,Mackenzies Animal Sanctuary,MI,48849
8339,Burlington,US,IA04,40.8178,-91.1256,Des Moines County Humane Society,IA,52601
8340,Burlington,US,IA17,40.8178,-91.1256,Animal Protection League,IA,52601
8341,Big Rapids,US,MI898,43.702,-85.4709,Animal Rescue Coalition of Mecosta County,MI,49307
8342,Decorah,US,IA18,43.2985,-91.8033,Humane Society of Northeast Iowa,IA,52101
8343,Decorah,US,IA212,43.2985,-91.8033,Iowa Weimaraner Rescue,IA,52101
8344,Schofield,US,WI136,44.9058,-89.5836,Shih Tzu Rescue of Central WI,WI,54476
8345,Macomb,US,IL65,40.4641,-90.6845,"Humane Society of McDonough County, Inc.",IL,61455
8346,Macomb,US,IL657,40.4641,-90.6845,ePITome Dog Rescue,IL,61455
8347,Ionia,US,MI342,42.9892,-85.0612,Ionia County Animal Shelter,MI,48846
8348,Decatur,US,IL418,39.8767,-88.9564,Humane Society of Decatur and Macon County,IL,62526
8349,Decatur,US,IL425,39.8767,-88.9564,Macon County Animal Control and Care Center,IL,62526
8350,Wabash,US,IN161,40.8059,-85.8255,Wabash County Animal Shelter,IN,46992
8351,Columbia City,US,IN159,41.1609,-85.4882,"Humane Society of Whitley County, Inc.",IN,46725
8352,Vinton,US,IA105,42.1509,-92.0151,Vinton Animal Shelter,IA,52349
8353,Reed City,US,MI468,43.8755,-85.5066,Osceloa County Animal Control,MI,49677
8354,Neillsville,US,WI34,44.601000000000006,-90.5924,Clark County Humane Society,WI,54456
8355,Williamsville,US,IL177,39.9531,-89.5456,Illinois Saint Bernard Rescue,IL,62693
8356,Wausau,US,WI498,44.9592,-89.63,Holster Rescue,WI,54403
8357,Kendallville,US,IN213,41.4446,-85.2597,"Humane Society of Noble County,Inc.",IN,46755
8358,Washington,US,IA21,41.2993,-91.6938,PAWS & More Animal Shelter,IA,52353
8359,Des Moines,US,IA92,41.2993,-91.6938,FluffyButts Rescue Resort,IA,52353
8360,Stanton,US,MI1020,43.2937,-85.1017,Mid Michigan Humane Society,MI,48888
8361,Decatur,US,IL896,39.8403,-88.9547,Yoga4Cats,IL,62525
8362,Frankfort,US,IN76,40.2827,-86.5101,Clinton County Humane Society,IN,46041
8363,Frankfort,US,IN83,40.2827,-86.5101,Indiana Horse Rescue,IN,46041
8364,Coldwater,US,MI622,41.9121,-85.0182,Refurbished Pets of Southern Michigan,MI,49036
8365,Coldwater,US,MI744,41.9121,-85.0182,Animal Aid of Branch County,MI,49036
8366,Coldwater,US,MI834,41.9121,-85.0182,Project Hope Animal Rescue,MI,49036
8367,Petersburg,US,IL840,40.0059,-89.8528,Menard County Animal Control,IL,62675
8368,Kokomo,US,IN336,40.4923,-86.1398,Kokomo Humane Society,IN,46901
8369,Kokomo,US,IN685,40.4923,-86.1398,Howard County Kitten Rescue,IN,46901
8370,Remus,US,MI480,43.5938,-85.2272,AuCaDo Australian Cattle Dog Rescue Michigan,MI,49340
8371,Kokomo,US,IN228,40.4864,-86.1336,"Pals For Paws, Inc.",IN,46903
8372,Tuscola,US,IL380,39.8003,-88.281,Douglas County Animal Control,IL,61953
8373,Portland,US,MI706,42.8686,-84.928,Grand River Rover Rescue (GRRR),MI,48875
8374,Olivet,US,MI279,42.4843,-84.8911,Eaton County Humane Society,MI,49076
8375,Blair,US,WI246,44.2393,-91.2738,Trempealeau County Humane Society,WI,54616
8376,Kokomo,US,IN686,40.4524,-86.1324,4 Precious Paws Rescue,IN,46902
8377,Marinette,US,WI502,45.0905,-87.6299,Charming Felines,WI,54143
8378,Crawfordsville,US,IN298,40.0353,-86.9041,Hoosier Great Dane Rescue,IN,47933
8379,Williamsburg,US,IA132,41.6622,-92.0189,Safe Haven of Iowa County,IA,52361
8380,Quincy,US,MI315,41.9411,-84.8981,Humane Society of Branch County,MI,49082
8381,Greentown,US,IN702,40.4748,-86.0012,Buddys Bandits Inc,IN,46936
8382,Angola,US,IN372,41.6353,-84.9989,Community Humane Shelter of Steuben County,IN,46703
8383,Menominee,US,MI27,45.1248,-87.62299999999998,Menominee Animal Shelter Inc,MI,49858
8384,Frankfort,US,MI1001,44.6287,-86.1864,Community Cats of Benzie County,MI,49635
8385,Albion,US,MI364,42.2453,-84.7998,Mid-Michigan Cat Rescue Inc.,MI,49224
8386,Huntington,US,IN490,40.8781,-85.4924,Helping Paws Pet Haven Inc.,IN,46750
8387,Huntington,US,IN88,40.8781,-85.4924,Huntington County Humane Shelter,IN,46750
8388,Huntington,US,IN662,40.8781,-85.4924,Animal House Sanctuary,IN,46750
8389,Belle Plaine,US,IA238,41.9549,-92.1902,Loving Arms Animal Rescue,IA,52208
8390,Springfield,US,IL10,39.8166,-89.6482,Animal Protective League,IL,62702
8391,Springfield,US,IL858,39.8166,-89.6482,Paws for Life,IL,62702
8392,Springfield,US,IL323,39.8017,-89.6436,Illinois Humane,IL,62705
8393,Eaton Rapids,US,MI546,42.5166991,-84.7294225,Trinity Acres Rescue,MI,48827
8394,Eaton Rapids,US,MI1028,42.5166991,-84.7294225,Saved by Zade,MI,48827
8395,Fort Madison,US,IA55,40.6393,-91.354,Protectors of Animal Welfare (P.A.W.),IA,52627
8396,Winona,US,MN241,44.0579,-91.6686,Winona Area Humane Society,MN,55987
8397,Rushville,US,IL340,40.1226,-90.5687,Schuyler County Humane Society,IL,62681
8398,Waterloo,US,IA36,42.5128,-92.3321,Cedar Bend Humane Society,IA,50703
8399,Waterloo,US,IA225,42.5128,-92.3321,Cedar Valley Pit Bull Rescue,IA,50703
8400,Springfield,US,IL181,39.7725,-89.6325,Sangamon County Animal Control Center,IL,62703
